ntd_id,source_record_id
90003,recoQLeNRISCKF8I0
90004,recIh3vq8jwuuJlvL
90006,recDFXyxaWQpiY4mw
90008,recJHFDLpGRMIFgnL
90009,recw3mRsmKDTNnVlT
90010,recvzE9NXgGMmqcTH
90012,recZgWVXkpix390of
90013,recC5CT95EufmQCXr
90014,recOZgevYf7Jimm9L
90015,rechaapWbeffO33OX
90016,recoX7qMhlPrgfuz3
90017,recsNvWvLQwGsoxlE
90019,recX9lccSE1jmjsmG
90020,recswCrw6a6htmXJ4
90022,recPkUZgzjCjk5GrV
90023,rec00qSzZL8KqiXAo
90024,reczjGNdEXFblFOLa
90026,recZALk4vysuoTVjF
90027,rec0bKUhHAajTNIlf
90029,recG5aXxDPI645S86
90030,recRBcrX4ZvTyvSnm
90031,recYgajd92VLqio1p
90035,recS7GnKTcQVX20HE
90035,recS7GnKTcQVX20HE
90036,recfma7GNR5lQTTTg
90039,rec5ome04BbA9uf4y
90041,recohwwty1Jn4lnsb
90042,recX4nQfupRQf3xGD
90043,recd0hxcumVMausDU
90044,recjaoK08lDmhjQga
90050,rec1ErIn9gG1Isk5W
90052,recOkSEcrVmWdQ8e1
90061,rech0BusKA17h0vuL
90062,receZJ9sEnP9vy3g0
90078,recjnaKVDEgulsko3
90078,recjnaKVDEgulsko3
90079,recAsbHMwQWB7cri8
90086,recgLpj7QC5s17PuJ
90087,rec9zGMJgNnes75K1
90088,rec9RGrya9SjWYp2p
90089,recDupUxInMUgxeiz
90090,recH2FdHvrL7nIpHA
90091,rec6gNibVKjDVy4aX
90092,recot6qBamlOoLcrM
90093,recI1fuNpr306H0hw
90094,recSOmBsATeoQylk1
90095,recS7Sx95U5wVOaTe
90119,rec6Z3DnERm3OwFzw
90121,recxsWR0KRrQTdjmg
90134,rec2ErIfztLMJ4rgG
90142,recS1JKEz73Hev8pJ
90144,recANs4M9yDhvDyob
90144,recANs4M9yDhvDyob
90144,recANs4M9yDhvDyob
90146,recSqgaa8QiQ8CRjl
90147,rec4pgjrmdhCh4z01
90148,recJcXMNC5MUm2uDe
90149,rec7ggteJZheTOceq
90151,rec7YtRySB7AsTfLw
90154,recPnGkwdpnr8jmHB
90155,recdujao2F9Hga9Od
90156,recMM99msxjmc6PPv
90157,recJtH0Ae8YNo01aj
90159,recIKnsnTdKQ0vsiv
90161,recmB4uxrVLRXYF3L
90162,recEEJVeGrHGoTwgj
90163,recD4Vzt0EDC3VY7I
90164,rec7EN71rsZxDFxZd
90165,recPJULRJk1Yn824N
90167,recNf2MzwwP5AxcgI
90168,recUdTq5QiUjJRiAe
90171,recImm5SmW2zq9rMT
90173,recVSX7dwjxAb557T
90175,rec9sI67HygZotDqo
90182,recpgYVeU3VePMeWx
90194,recbWh9459hy2UVTL
90196,recDD2rnkl2m7IV8u
90197,recdtVOFdFyypMSUL
90198,recw9p34RqEOleTLg
90199,rec2DteW2sfmBJRsH
90200,rec5MLJKrAgeM8f6H
90201,recmQVsPDG6sLtD6j
90206,reciakGBN1DP9dK9N
90208,recf7l9tozKXOmqqZ
90211,recsrIZdx5Wt6n3ol
90213,recUbGDXhPdx3494b
90214,rec8zhnCPETu6qEiH
90216,recsrpnpj2oZXBvE6
90217,rec8etsmgpnGTuigh
90218,recnzXYBeSO2NIAr6
90223,recAwVdogtIsOLN9Q
90225,recmatCuQAUrNcs8j
90226,rec38PbjPbEy2Tvdu
90227,recojKzQsBzE1hjVu
90229,recEDVdKwYUSkGBRd
90230,rec7ltSJtcCExbv1m
90232,reclLbvvKE1V4zsZg
90233,reclW3IXkAAyivJtq
90234,recNOb7pqBRlQVG5e
90238,recROsnN85RlZziSj
90243,rec0TwjcvtdbA7aPG
90246,recIwwhIBPHVfBdiV
90247,recNaKvzVQhGX1puu
90249,recOJSvoc4DINLezJ
90250,recFPHukHLxuipzd1
90251,rec2mqmTSs2fd2Ogc
90252,reciHfF3NFpYwPhBd
90253,recupQmz2bSZtGWEa
90254,recwXqWJOQZMhdBbg
90255,rec6suFcJnXKb8ARd
90256,rec6z2ivjTxc8Sag3
90257,rec4bA4PXbqfUKosh
90258,recgsY5iTcDhjK0Ju
90259,recXYM27Lts8XF98x
90260,recwTLLx2Qq4yzwWH
90261,reclU04qh7BD3tRBl
90262,recIiOJJeQRZQ2h9Z
90263,rec21lizHh1D0uU00
90265,recoRzMb9zCV1Ta0x
90266,rec7RGXLkG2Wiu9Jk
90267,rec0mPaKPAdemkyOV
90268,receRQU9FvhlaYHky
90271,rec860cgWfE3MaiHw
90281,rec0FfOvKIMZu1Qjs
90282,recwquyAcz61Csn1z
90283,recY8PoIFwsh3PBkh
90284,recV6WAkk4yeeVZLh
90285,recGHAE8jaKtdHOsY
90286,reccAVEcMntkbh6aY
90287,recO3X2ot0GH9a5sg
90288,recb7uOVfmbGbDi8J
90289,recKA7jKmdhFnj2ki
90290,recAscHgkaEH7iC04
90291,recSOvT9EjtcLUUeE
90292,recgARgD26tgBtext
90293,recxlxkA0bYVEU3JM
90294,rec2LbE0IBKBAkvQr
90295,recCrwnsp8qWqWpcj
90296,rec740nNdh3RVBMkj
90298,recXe6VxOyvIkBQO5
90299,recUmm4gcNXaqrwpn
90300,recC5MAOasVIbzpAV
90301,recwD6Z3TzAXm8PaQ
90302,recQp6uQAUFcenmQ6
90303,recBiunkSvSVhXa6J
90306,recSiaaMmBXW7fUZS
90310,rec4YWVqVwJ9XqDbq
91000,recSBFiK95hJnJuYx
91002,rec4e4r2hFHsLJ603
91005,recWLwvtjXhiVWjKt
91006,recAkDqkvBJrM6Z6U
91007,rec3d3ltF8TijTaTx
91008,rec5Q3mEXcHPpQ8bn
91008,rec5Q3mEXcHPpQ8bn
91009,recvUNSLR7o56gsyl
91012,recHbquam1bWEwC3P
91014,recaUmi7EJdPiG067
91018,recaaoqEDvwhcmIVT
91020,rec2nYLvujeMxCVJW
91027,recU2uRqDJL4SdI4E
91028,reckp33bhAuZlmO1M
91032,recbW86Xrtuw8PhiU
91035,recK5xIowqx4sGVMT
91036,recaa3naoNR4a5RsJ
91038,recg4n97mU2hq3yEa
91041,recH99xnwUei3oU7T
91043,recVdB3dpp3VhC1bd
91047,recpWBEjXzLHqCjhE
91048,recBBqHJqX8xzj9P4
91053,recPwXKbGLL4aIqXV
91055,rec6FAtaPfGzacue8
91057,reclbzT9trIiGwjBB
91058,reckQmUdXUzHFmlVf
91059,reczIiFqdL5AXTpm1
91062,recRajLNJI206nnAr
91066,recgTxL1xyvgC8e9k
91070,recSEnsIk5ynuEF8D
91071,recvVEHfgly84eET4
91074,recb62AnQ2VtCwQF3
91078,recNeVOEwWUtYe8xm
91082,recGqTUeT6ZZZZLEh
91088,rec0sMQyK2v8Cs4Io
91089,recEtov4XTJZDjtuj
91090,recniaSbsXcRSLsWe
91090,recniaSbsXcRSLsWe
91092,rec3u4aMplqObcoTR
91093,recynxkqEoo9dJEvw
91095,reczUcQgqgtMpkpKC
91097,recOnKhqF25crJt4q
91098,rec78KctfPkBZC5IJ
91101,recC3RkO8A2PmiWUC
91110,recJgBQp06uDrbSiq
91111,recpVeVRYRDrK7yFI
91112,recwkt8N8YjUQTvuX
91116,rec79AM4tMwdokWhE
91119,recbMtOZTPh8dnUEZ
91120,recjZAN1qYrPh4rLd
99262,rec4Vi2TfrtSAgp8i
99292,rec0xQaeDukHT3ODl
99316,recHWh5FXKdshWvgB
99358,recNREAcb59OAtwPX
99364,recT0RwBl91YNmu23
99422,recCrbMuKb85X5QEY
99423,recJk2sQrZAYUPMID
99424,reczF5Y8R9CUJmfSy
99425,recZQhAvmiMqBlayd
99426,recR3lcjexxq11FFe
99442,recFqVabH8109u70q
99452,recDkgCw6sTnLcrWC
99454,recGcv4NidDjwVSiN
